subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:52:27,070 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:54:58,398 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:23:10,642 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:25:22,186 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:27:36,096 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:29:49,361 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:32:10,506 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:34:25,933 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:36:41,436 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:38:54,410 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:41:07,275 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:43:21,166 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:45:32,155 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:47:42,480 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:49:52,441 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:52:03,126 | Episode subtitles folder 'subtitles/06' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 08:54:15,007 | Episode subtitles folder 'subtitles/06' not found.
main | main | line 35 | ERROR | 2025-10-20 12:36:22,696 | Current episode (7) is not configured or empty
main | main | line 35 | ERROR | 2025-10-20 14:16:28,030 | Current episode (7) is not configured or empty
